"sigma_obs","beta_intercept"
0.325351702383767,-0.160661844392876
0.301467391436547,-0.122891479316146
0.292371769211541,-0.0874677673710742
0.302475696071848,-0.133482039194018
0.332428231963795,-0.0693030683567698
0.330189651642796,-0.127908795302236
0.286097393098459,-0.103250556236226
0.320295759366494,-0.126488066720823
0.33469713147447,-0.0904601354757436
0.323078437752309,-0.12308614959293
0.312486666151988,-0.121385982336257
0.310318111147025,-0.136984580911188
0.30205842060512,-0.104357060690754
0.302480149323909,-0.141499570484188
0.323831519341358,-0.101535622905267
0.316312229003108,-0.127898167995115
0.292467610657916,-0.117807734308175
0.313094472789125,-0.116617405083644
0.319447678482322,-0.0917477068177604
0.360155499920318,-0.151075730993633
0.321138298807629,-0.146852554240515
0.295009759710468,-0.0961252139198968
0.33708279925424,-0.0939998120602281
0.295934945908357,-0.0877213979303671
0.300824691218551,-0.103122186198088
0.301690490888634,-0.0742243134013297
0.286473249677936,-0.124847208066668
0.307410913895405,-0.114845289250501
0.283913625716474,-0.105304845733146
0.335331151528602,-0.13034907208862
0.315516703221175,-0.142431953047147
0.33220024916176,-0.111141110940192
0.30304680243039,-0.131905349011265
0.301799949655232,-0.153982624021058
0.326628029703659,-0.112644295068989
0.329605442691376,-0.0625455072574152
0.322012365051724,-0.150102067181493
0.323736135481248,-0.121480200572516
0.288071734377862,-0.101329255250849
0.315335014441388,-0.112698713043851
0.333167176257089,-0.0953334917205482
0.319430508582801,-0.123311905846314
0.297003808333173,-0.114003171641363
0.311088782154026,-0.0913057954528316
0.339703225091917,-0.14236677995719
0.305605891225772,-0.126626071255619
0.341570745066093,-0.123482224877252
0.308794931956203,-0.0954950969501747
0.362594271709656,-0.151786803982012
0.31066145915838,-0.122635579691925
0.313377602567819,-0.115007084364564
0.318030710405542,-0.110367726260403
0.314293358740216,-0.108601275292883
0.310010215665241,-0.143206910547893
0.346983360077259,-0.120050228077623
0.308100838257047,-0.106295736922907
0.314965882540921,-0.132382991515623
0.29766366654034,-0.137081284829031
0.303731490593871,-0.134813115825445
0.321389833050135,-0.0549300651912046
0.307275619956384,-0.136871518657062
0.292108302381373,-0.10780102900811
0.310093300109025,-0.1478948797006
0.284815910909895,-0.0958567053991475
0.295774770110848,-0.0811663211833695
0.319963894801025,-0.0850108451559861
0.309249980120836,-0.128144687585784
0.341632800538903,-0.121213529104999
0.315227737126043,-0.121197349700904
0.292467384657766,-0.0853293377302676
0.328922803636186,-0.0869332539159392
0.325208819062756,-0.10041095268198
0.30312947530369,-0.0830233983682163
0.340287123054809,-0.132371043431082
0.303371672541767,-0.121773033366227
0.315389260818461,-0.10922795870941
0.315084510085198,-0.107799413879192
0.312832439221668,-0.111649015778584
0.318788357952841,-0.126672979129956
0.320933073645979,-0.133684236424512
0.330363713664919,-0.13001501305421
0.333908037933612,-0.105087775144978
0.291002451148603,-0.151606000842772
0.295334268084631,-0.13469139638352
0.323499693271381,-0.115063659154268
0.313595164641316,-0.075953346397612
0.330340251792888,-0.067199932483662
0.340478300212773,-0.114777322041905
0.328689281781725,-0.121534550389877
0.308112190953822,-0.152489821607631
0.314152098318297,-0.117823145258308
0.301449171702145,-0.118533923732723
0.328913571252815,-0.0666574477935188
0.305402464587869,-0.0926906663749595
0.314110920315536,-0.129174207861907
0.311235020044173,-0.127418307405155
0.32715876523125,-0.133902651373321
0.317695385244328,-0.133740913151543
0.311145233205195,-0.121578402367696
0.33177417217702,-0.122748717750015
0.32039866458683,-0.0977531772840968
0.293741412217721,-0.089128472916578
0.327767522292676,-0.0862670310769266
0.306917029370007,-0.0856933591273341
0.288728406008003,-0.0921121321774898
0.316622465142877,-0.0999685126806854
0.315104831208007,-0.103860735057924
0.294756321830108,-0.111128677982667
0.297791010337071,-0.105489926054274
0.320776275285645,-0.0736090439177938
0.286482013724335,-0.0955548345186456
0.299796925666887,-0.14426424476756
0.299227526738394,-0.153941680628363
0.300685031284119,-0.113216094368209
0.312555392927099,-0.102739833515795
0.304438057741771,-0.109157415881921
0.315645329837721,-0.128426004407477
0.326905817628683,-0.12229073777832
0.313685967254855,-0.126186029403886
0.307955339424895,-0.119760363123012
0.322974789479113,-0.13914534132032
0.308915360885037,-0.106184778530215
0.290657420733417,-0.0874596295117532
0.311271904036141,-0.0876053786811051
0.306379000878,-0.0948159600573118
0.291032845526767,-0.127079618923669
0.292546381752883,-0.12723254226952
0.309401715666469,-0.0908859342787201
0.309405262757739,-0.118353464612577
0.317838055867224,-0.0832723774143704
0.285330777895522,-0.123273240507318
0.317697975357588,-0.0864455581199995
0.305227265809679,-0.133120199207562
0.273681872839269,-0.0909989385658899
0.287785171426974,-0.113848720247341
0.29317328587692,-0.131952173932164
0.332011386951401,-0.129441366367107
0.311518654332291,-0.12415776426436
0.305702691685718,-0.136247822987203
0.321530802114495,-0.11463443831968
0.307932663119503,-0.133725944212738
0.300199197567793,-0.125844804730301
0.322738879378902,-0.129342522214884
0.30087652311059,-0.104796361732254
0.287138867355373,-0.0524877606318307
0.339007211282414,-0.108065475903416
0.326037814275508,-0.134755586944129
0.324912169643264,-0.104360411766381
0.314811730054878,-0.0959490866389045
0.336457794621244,-0.1003141113725
0.338212988094017,-0.104984301202489
0.311107090146819,-0.140489923657783
0.344817054495139,-0.110547534896987
0.338792924178975,-0.063407125878692
0.329412249610799,-0.138184486715479
0.320583879451058,-0.128486613201643
0.290693563772262,-0.112098838300624
0.300605835600018,-0.158766540071536
0.317317834986483,-0.145169931904079
0.3108507447329,-0.109013707359186
0.342218100321027,-0.114354880725143
0.315860432055698,-0.102172431214752
0.309862776024754,-0.12005190775028
0.32020525159801,-0.118098123450195
